date,city,price
2020-03-01,LE HAVRE,2128.6413636749203
2020-04-01,LE HAVRE,2134.2661857337807
2020-05-01,LE HAVRE,2139.7095619197935
2020-06-01,LE HAVRE,2145.334383978654
2020-07-01,LE HAVRE,2150.7777601646376
2020-08-01,LE HAVRE,2156.402582223498
2020-09-01,LE HAVRE,2162.0274042823585
2020-10-01,LE HAVRE,2167.470780468342
2020-11-01,LE HAVRE,2173.0956025272026
2020-12-01,LE HAVRE,2178.5389787132153
2016-01-01,SAINT-ETIENNE,1070.0691301865809
2016-02-01,SAINT-ETIENNE,1071.2009976346562
2016-03-01,SAINT-ETIENNE,1072.2598413764026
2016-04-01,SAINT-ETIENNE,1073.391708824478
2016-05-01,SAINT-ETIENNE,1074.487064419387
2016-06-01,SAINT-ETIENNE,1075.6189318674624
2016-07-01,SAINT-ETIENNE,1076.714287462375
2016-08-01,SAINT-ETIENNE,1077.8461549104504
2016-09-01,SAINT-ETIENNE,1078.9780223585258
2016-10-01,SAINT-ETIENNE,1080.0733779534348
2016-11-01,SAINT-ETIENNE,1081.2052454015102
2016-12-01,SAINT-ETIENNE,1082.3006009964229
2017-01-01,SAINT-ETIENNE,1083.4324684444946
2017-02-01,SAINT-ETIENNE,1084.56433589257
2017-03-01,SAINT-ETIENNE,1085.5866677811537
2017-04-01,SAINT-ETIENNE,1086.718535229229
2017-05-01,SAINT-ETIENNE,1087.8138908241417
2017-06-01,SAINT-ETIENNE,1088.945758272217
2017-07-01,SAINT-ETIENNE,1090.0411138671261
2017-08-01,SAINT-ETIENNE,1091.1729813152015
2017-09-01,SAINT-ETIENNE,1092.3048487632768
2017-10-01,SAINT-ETIENNE,1093.4002043581895
2017-11-01,SAINT-ETIENNE,1094.5320718062612
2017-12-01,SAINT-ETIENNE,1095.627427401174
2018-01-01,SAINT-ETIENNE,1096.7592948492493
2018-02-01,SAINT-ETIENNE,1097.8911622973246
2018-03-01,SAINT-ETIENNE,1098.9134941859083
2018-04-01,SAINT-ETIENNE,1100.0453616339837
2018-05-01,SAINT-ETIENNE,1101.1407172288928
2018-06-01,SAINT-ETIENNE,1102.272584676968
2018-07-01,SAINT-ETIENNE,1103.3679402718808
2018-08-01,SAINT-ETIENNE,1104.4998077199562
2018-09-01,SAINT-ETIENNE,1105.6316751680279
2018-10-01,SAINT-ETIENNE,1106.7270307629406
2018-11-01,SAINT-ETIENNE,1107.858898211016
2018-12-01,SAINT-ETIENNE,1108.954253805925
2019-01-01,SAINT-ETIENNE,1110.0861212540003
2019-02-01,SAINT-ETIENNE,1111.2179887020757
2019-03-01,SAINT-ETIENNE,1112.2403205906594
2019-04-01,SAINT-ETIENNE,1113.3721880387347
2019-05-01,SAINT-ETIENNE,1114.4675436336474
2019-06-01,SAINT-ETIENNE,1115.5994110817192
2019-07-01,SAINT-ETIENNE,1116.6947666766318
2019-08-01,SAINT-ETIENNE,1117.8266341247072
2019-09-01,SAINT-ETIENNE,1118.9585015727826
2019-10-01,SAINT-ETIENNE,1120.0538571676916
2019-11-01,SAINT-ETIENNE,1121.185724615767
2019-12-01,SAINT-ETIENNE,1122.2810802106796
2020-01-01,SAINT-ETIENNE,1123.412947658755
2020-02-01,SAINT-ETIENNE,1124.5448151068304
2020-03-01,SAINT-ETIENNE,1125.6036588485767
2020-04-01,SAINT-ETIENNE,1126.735526296652
2020-05-01,SAINT-ETIENNE,1127.8308818915611
2020-06-01,SAINT-ETIENNE,1128.9627493396365
2020-07-01,SAINT-ETIENNE,1130.0581049345492
2020-08-01,SAINT-ETIENNE,1131.1899723826245
2020-09-01,SAINT-ETIENNE,1132.3218398307
2020-10-01,SAINT-ETIENNE,1133.417195425609
2020-11-01,SAINT-ETIENNE,1134.5490628736843
2020-12-01,SAINT-ETIENNE,1135.644418468597
2016-01-01,NANTES,2424.803455287416
2016-02-01,NANTES,2441.8060374217457
2016-03-01,NANTES,2457.711678773281
2016-04-01,NANTES,2474.714260907669
2016-05-01,NANTES,2491.1683726506308
2016-06-01,NANTES,2508.1709547849605
2016-07-01,NANTES,2524.625066527922
2016-08-01,NANTES,2541.62764866231
2016-09-01,NANTES,2558.630230796698
2016-10-01,NANTES,2575.0843425396015
2016-11-01,NANTES,2592.0869246739894
2016-12-01,NANTES,2608.541036416951
2017-01-01,NANTES,2625.543618551339
2017-02-01,NANTES,2642.5462006856687
2017-03-01,NANTES,2657.903371645778
2017-04-01,NANTES,2674.905953780166
2017-05-01,NANTES,2691.3600655230694
2017-06-01,NANTES,2708.3626476574573
2017-07-01,NANTES,2724.816759400419
2017-08-01,NANTES,2741.819341534807
2017-09-01,NANTES,2758.8219236691366
2017-10-01,NANTES,2775.2760354120983
2017-11-01,NANTES,2792.278617546486
2017-12-01,NANTES,2808.732729289448
2018-01-01,NANTES,2825.7353114237776
2018-02-01,NANTES,2842.7378935581655
2018-03-01,NANTES,2858.0950645182747
2018-04-01,NANTES,2875.0976466526627
2018-05-01,NANTES,2891.551758395566
2018-06-01,NANTES,2908.554340529954
2018-07-01,NANTES,2925.0084522729157
2018-08-01,NANTES,2942.0110344073037
2018-09-01,NANTES,2959.0136165416334
2018-10-01,NANTES,2975.467728284595
2018-11-01,NANTES,2992.470310418983
2018-12-01,NANTES,3008.9244221619447
2019-01-01,NANTES,3025.9270042962744
2019-02-01,NANTES,3042.9295864306623
2019-03-01,NANTES,3058.2867573907715
2019-04-01,NANTES,3075.2893395251012
2019-05-01,NANTES,3091.743451268063
2019-06-01,NANTES,3108.746033402451
2019-07-01,NANTES,3125.2001451454125
2019-08-01,NANTES,3142.2027272797422
2019-09-01,NANTES,3159.20530941413
2019-10-01,NANTES,3175.659421157092
2019-11-01,NANTES,3192.66200329148
2019-12-01,NANTES,3209.1161150343833
2020-01-01,NANTES,3226.118697168771
2020-02-01,NANTES,3243.121279303159
2020-03-01,NANTES,3259.0269206546945
2020-04-01,NANTES,3276.0295027890243
2020-05-01,NANTES,3292.483614531986
2020-06-01,NANTES,3309.486196666374
2020-07-01,NANTES,3325.9403084093356
2020-08-01,NANTES,3342.9428905436653
2020-09-01,NANTES,3359.945472678053
2020-10-01,NANTES,3376.399584421015
2020-11-01,NANTES,3393.402166555403
2020-12-01,NANTES,3409.8562782983063
2016-01-01,RENNES,2300.0310841964674
2016-02-01,RENNES,2313.0811124863103
2016-03-01,RENNES,2325.2892034671386
2016-04-01,RENNES,2338.3392317569815
2016-05-01,RENNES,2350.968291392317
2016-06-01,RENNES,2364.01831968216
2016-07-01,RENNES,2376.6473793174373
2016-08-01,RENNES,2389.69740760728
2016-09-01,RENNES,2402.747435897123
2016-10-01,RENNES,2415.3764955324586
2016-11-01,RENNES,2428.4265238223015
2016-12-01,RENNES,2441.055583457637
2017-01-01,RENNES,2454.10561174748
2017-02-01,RENNES,2467.1556400372647
2017-03-01,RENNES,2478.9427623635856
2017-04-01,RENNES,2491.9927906534285
2017-05-01,RENNES,2504.621850288764
2017-06-01,RENNES,2517.671878578607
2017-07-01,RENNES,2530.3009382139426
2017-08-01,RENNES,2543.3509665037272
2017-09-01,RENNES,2556.40099479357
2017-10-01,RENNES,2569.0300544289057
2017-11-01,RENNES,2582.0800827187486
2017-12-01,RENNES,2594.709142354084
2018-01-01,RENNES,2607.759170643927
2018-02-01,RENNES,2620.80919893377
2018-03-01,RENNES,2632.5963212600327
2018-04-01,RENNES,2645.6463495498756
2018-05-01,RENNES,2658.275409185211
2018-06-01,RENNES,2671.325437475054
2018-07-01,RENNES,2683.9544971103896
2018-08-01,RENNES,2697.0045254001743
2018-09-01,RENNES,2710.054553690017
2018-10-01,RENNES,2722.683613325353
2018-11-01,RENNES,2735.7336416151957
2018-12-01,RENNES,2748.3627012505312
2019-01-01,RENNES,2761.412729540374
2019-02-01,RENNES,2774.462757830217
2019-03-01,RENNES,2786.24988015648
2019-04-01,RENNES,2799.2999084463227
2019-05-01,RENNES,2811.9289680816582
2019-06-01,RENNES,2824.978996371501
2019-07-01,RENNES,2837.6080560068367
